#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-94.9,52,3.637331
-94.8,53,3.702095
-94.8,53,3.702194
-94.700005,54,3.764587
-94.700005,54,3.764734
-94.600006,55,3.818986
-93.8,63,4.281864
-93.5,66,4.545861
-93.3,68,4.670189
-92.8,73,5.03571
-91.90001,82,5.61959
-91.100006,90,6.189236
-94.700005,54,7.577873
-94.8,53,7.577946
-94.200005,59,8.009423
-94.700005,54,8.366901
-94.700005,54,9.137898
-92.700005,74,9.29357
-92.4,77,9.293704
-91.8,83,9.882732
-92.00001,81,10.729725
-93.00001,71,11.213168
-91.4,87,11.371411
-93.5,66,11.448419
-94.700005,54,11.852709
-94.600006,55,11.904056
-94.700005,54,12.547903
-94.8,53,13.547985
-92.8,73,13.860391
-94.8,53,14.068623
-92.8,73,15.22093
-92.3,78,15.415918
-94.600006,55,15.696449
-94.5,56,16.486845
-92.8,73,16.666389
-93.5,66,16.844481
-94.700005,54,17.039386
-93.600006,65,17.15466
-91.90001,82,18.022952
-93.00001,71,19.31013
-92.9,72,19.736141
-94.8,53,19.991013
-91.8,83,20.822289
-94.700005,54,20.822371
-92.50001,76,21.232929
-92.4,77,21.548037
-94.9,52,22.088392
-93.5,66,22.338977
-93.00001,71,22.486541
-91.90001,82,23.103872
-94.700005,54,23.480792
-91.600006,85,23.729376
-94.8,53,23.813396
-94.600006,55,24.196476
-94.9,52,24.832009
-94.9,52,26.248459
-93.4,67,26.572094
-94.600006,55,26.729838
-92.600006,75,27.656961
-90.7,94,28.401196
-92.8,73,28.401277
-93.3,68,28.768601
-93.3,68,29.457992
-93.4,67,29.850039
-92.600006,75,30.098157
-91.5,86,30.648804
-94.700005,54,30.816529
-94.8,53,31.096089
-94.700005,54,32.133577
-90.8,93,32.588614
-94.8,53,32.765934
-94.8,53,32.766056
-92.600006,75,33.060396
-94.8,53,33.86574
-93.700005,64,34.161209
-94.5,56,34.799582
-92.600006,75,36.198127
-93.00001,71,36.920919
-94.8,53,37.227492
-92.100006,80,37.444242
-91.8,83,37.954499
-92.600006,75,38.410941
-94.5,56,38.462178
-92.700005,74,38.939739
-92.50001,76,39.077751
-93.600006,65,39.396737
-91.90001,82,39.872568
-93.3,68,40.37174
-93.3,68,41.671514
-94.700005,54,41.724881
-94.700005,54,42.38804
-92.8,73,42.935674
-92.4,77,42.935743
-94.700005,54,43.418466
-93.700005,64,44.155937
-92.700005,74,44.413535
-92.4,77,44.727827
-94.5,56,44.911893
-93.00001,71,45.283364
-92.600006,75,46.041505
-94.4,57,47.071574
-93.5,66,47.147937
-94.9,52,47.327401
-93.00001,71,47.550576
-94.8,53,47.991011
-94.8,53,48.664782
-93.4,67,48.664857
-94.8,53,49.244193
-94.600006,55,49.540734
-94.700005,54,49.780311
-94.9,52,51.649819
-91.0,91,52.018868
-92.700005,74,52.181175
-94.8,53,52.407346
-92.8,73,53.291392
-92.8,73,53.383568
-93.00001,71,54.651092
-91.4,87,54.913893
-92.50001,76,55.094794
-95.0,51,56.128721
-92.100006,80,56.661262
-91.700005,84,56.787591
-94.700005,54,56.787682
-94.700005,54,56.920993
-90.9,92,57.123019
-94.9,52,57.810364
-94.8,53,57.98894
-93.5,66,58.145428
-94.9,52,59.531318
-92.8,73,60.762153
-94.8,53,61.108097
-94.700005,54,61.168441
-93.700005,64,61.463849
-94.600006,55,61.46399
-94.700005,54,61.556946
-94.9,52,62.001152
-93.600006,65,62.001245
-90.5,96,62.74409
-93.5,66,63.340807
-94.5,56,63.962965
-92.600006,75,63.96306
-94.9,52,65.353323
-94.600006,55,65.767517
-93.00001,71,66.496263
-93.3,68,66.584551
-93.4,67,66.901584
-92.700005,74,67.926291
-91.8,83,68.08259
-91.90001,82,68.632406
-93.700005,64,68.632508
-91.700005,84,69.635489
-92.8,73,69.831764
-94.5,56,70.29863
-91.90001,82,70.561821
-94.8,53,70.777972
-94.700005,54,71.199871
-91.8,83,71.922225
-94.700005,54,72.30345
-93.5,66,73.097496
-91.5,86,73.260695
-94.9,52,73.596586
-94.700005,54,73.965938
-92.700005,74,74.297804
-95.0,51,74.478158
-91.8,83,75.04822
-93.3,68,75.579176
-95.0,51,75.94476
-93.200005,69,76.611717
-92.200005,79,77.064352
-94.5,56,77.604021
-94.600006,55,77.680838
-95.0,51,78.173135
-92.8,73,78.173229
-94.8,53,78.797647
-94.700005,54,79.829372
-92.8,73,80.067444
-91.600006,85,80.280704
-93.5,66,80.98232
-91.700005,84,81.667893
-94.600006,55,81.946271
-92.8,73,82.393742
-93.100006,70,83.037671
-92.9,72,83.756738
-91.5,86,83.756817
-92.50001,76,84.07023
-93.200005,69,84.157789
-94.3,58,84.440515
-94.5,56,84.516546
-94.4,57,85.647435
-93.5,66,86.871006
-94.5,56,87.372971
-91.100006,90,87.373059
-95.0,51,87.737913
-94.8,53,87.878894
-95.0,51,88.084231
-92.700005,74,88.192765
-91.90001,82,88.455317
-94.5,56,88.932356
-94.700005,54,90.073082
-90.9,92,92.019275
-94.600006,55,92.019366
-90.0,101,92.306277
-94.9,52,92.511025
-92.700005,74,93.052886
-93.200005,69,93.218229
-94.700005,54,93.492414
-93.4,67,93.592987
-93.200005,69,93.918362
-94.8,53,94.574689
-91.8,83,94.783206
-92.4,77,94.911389
-93.4,67,97.546242
-93.5,66,97.804909
-94.700005,54,97.889801
-94.700005,54,97.94266
-92.700005,74,98.101398
